track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Sammi,Zeb Bangash,1.69925,1,0,1,2025-07-29,2025-07-29,0.0
Call It What You Want,Taylor Swift,1.6756666666666666,1,0,1,2025-01-11,2025-01-11,0.0
Loser,Tame Impala,1.6697,2,1,1,2025-09-07,2025-11-02,50.0
Blank Space (Taylor's Version),Taylor Swift,1.6426833333333333,1,1,0,2025-09-10,2025-09-10,100.0
Dil Ibaadat,Pritam,1.63695,3,3,0,2025-07-13,2025-11-08,100.0
Money Trees,Kendrick Lamar,1.63385,1,0,1,2025-10-21,2025-10-21,0.0
I Forgot That You Existed,Taylor Swift,1.6337666666666666,1,1,0,2025-09-23,2025-09-23,100.0
Alfaazo,Mitraz,1.6313,1,1,0,2025-04-12,2025-04-12,100.0
Surah Al Mulk,Sheikh Abdul Rahman Al Sudais,1.6108333333333333,2,1,1,2025-11-11,2025-11-11,50.0
Khushi,Arsalan Hasan,1.6077833333333333,1,1,0,2025-09-05,2025-09-05,100.0
Aziyat 2.0 - Reprise Version,Pratsofficial,1.5844166666666666,1,1,0,2025-04-06,2025-04-06,100.0
Faltu Pyar,Hasan Raheem,1.5820333333333334,1,1,0,2025-10-03,2025-10-03,100.0
Please Please Please,Sabrina Carpenter,1.5701666666666667,2,2,0,2025-11-04,2025-11-04,100.0
Good Looking,Suki Waterhouse,1.5671666666666666,1,1,0,2025-09-04,2025-09-04,100.0
If It's Lovin' That You Want,Rihanna,1.5391833333333333,1,1,0,2025-08-21,2025-08-21,100.0
Tears,Sabrina Carpenter,1.4900166666666668,2,2,0,2025-09-05,2025-11-04,100.0
Ride It (Kya Yehi Pyaar Hai) - Hindi Version,Jay Sean,1.486,1,0,1,2025-02-26,2025-02-26,0.0
The Real Punk Rock,John Murphy,1.4803166666666667,1,0,1,2025-11-07,2025-11-07,0.0
Fourth of July,Sufjan Stevens,1.4693333333333334,2,0,2,2025-04-23,2025-05-29,0.0
Diet Pepsi,Addison Rae,1.4566333333333334,4,4,0,2025-01-29,2025-11-11,100.0
Saaiyaan,Salim–Sulaiman,1.4510666666666667,2,1,1,2025-01-12,2025-04-01,50.0
Perfect,Ali Gatie,1.4469833333333333,2,2,0,2025-09-27,2025-10-06,100.0
The Fate of Ophelia,Taylor Swift,1.4330666666666667,1,1,0,2025-11-01,2025-11-01,100.0
4U,Maanu,1.3726666666666667,1,0,1,2025-11-18,2025-11-18,0.0
Bekhudi,Mustafa Zahid,1.3218333333333334,1,1,0,2025-04-08,2025-04-08,100.0
Opalite,Taylor Swift,1.3086166666666668,1,1,0,2025-11-01,2025-11-01,100.0
Heer,Afusic,1.3051666666666668,3,2,1,2025-10-26,2025-10-27,66.67
Kaun Talha,Talha Anjum,1.297,1,0,1,2025-02-10,2025-02-10,0.0
Ayah Al Kursi,Abdulah Haikal,1.2893333333333334,1,0,1,2025-02-05,2025-02-05,0.0
Dil Darbadar,Ankit Tiwari,1.2856166666666666,1,1,0,2025-11-09,2025-11-09,100.0
Memories,Hasan Raheem,1.2826166666666667,1,1,0,2025-10-03,2025-10-03,100.0
"So Long, London",Taylor Swift,1.2053,1,1,0,2025-09-10,2025-09-10,100.0
Aankhon Se Batana,Dikshant,1.1926,2,0,2,2025-09-30,2025-09-30,0.0
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,1.1897833333333334,1,1,0,2025-09-10,2025-09-10,100.0
When Did You Get Hot?,Sabrina Carpenter,1.1711,3,1,2,2025-09-05,2025-11-05,33.33
White Brown Black,Avvy Sra,1.1665166666666666,1,1,0,2025-09-10,2025-09-10,100.0
Lafz - Live at Pepsi Battle of the Bands,Auj,1.1650833333333332,1,1,0,2025-11-20,2025-11-20,100.0
Play Date,Melanie Martinez,1.1603666666666668,1,1,0,2025-09-15,2025-09-15,100.0
Sanson ki mala pe prem ke rang me,Future king,1.1423333333333334,1,1,0,2025-03-08,2025-03-08,100.0
Lois & Clark,John Murphy,1.1374833333333334,2,1,1,2025-11-07,2025-11-07,50.0
ICY GRL,Saweetie,1.12775,1,1,0,2025-10-04,2025-10-04,100.0
Maine Dil Se Kaha,KK,1.1274,1,0,1,2025-11-09,2025-11-09,0.0
Duur Se,Hassan & Roshaan,1.1256666666666666,1,1,0,2025-10-04,2025-10-04,100.0
"In Another Life, This May Have Been Different",numb the pain,1.041,3,3,0,2025-11-16,2025-11-16,100.0
Lip To Lip,Kumaar,1.0270166666666667,1,0,1,2025-02-10,2025-02-10,0.0
Yeh Fitoor Mera,Amit Trivedi,1.0196666666666667,2,1,1,2025-07-08,2025-09-05,50.0
Sabeel-e-Aarzu,Auj,0.99755,1,1,0,2025-11-20,2025-11-20,100.0
Ratiyaan,Hansika Pareek,0.9925666666666667,1,1,0,2025-06-19,2025-06-19,100.0
Labon Ko,Pritam,0.9827833333333333,2,2,0,2025-01-12,2025-07-08,100.0
exile (feat. Bon Iver),Taylor Swift,0.9698666666666667,1,0,1,2025-04-26,2025-04-26,0.0
Father Figure,Taylor Swift,0.951,1,0,1,2025-11-01,2025-11-01,0.0
Ik Pal,Hadiqa Kiani,0.9376333333333333,1,1,0,2025-03-08,2025-03-08,100.0
Guilty as Sin? - About You,vunes,0.90345,1,1,0,2025-09-23,2025-09-23,100.0
Ride Or Die,Sevdaliza,0.8653,2,2,0,2025-08-18,2025-09-05,100.0
Ya Nabi Salam Alayka - Vocals Only Version,Maher Zain,0.7951666666666667,1,1,0,2025-03-21,2025-03-21,100.0
Wavy,Karan Aujla,0.776,1,1,0,2025-05-26,2025-05-26,100.0
Sunsetz,Cigarettes After Sex,0.7562666666666666,3,1,2,2025-05-24,2025-08-06,33.33
a lot,21 Savage,0.7452333333333333,1,1,0,2025-08-04,2025-08-04,100.0
this is me trying,Taylor Swift,0.74135,1,1,0,2025-05-13,2025-05-13,100.0
Ayat Ul Kursi,Sheikh Abdul Rahman Al Sudais,0.7049166666666666,1,0,1,2025-08-23,2025-08-23,0.0
Dress,Taylor Swift,0.69555,1,0,1,2025-01-12,2025-01-12,0.0
Fell For You,Shubh,0.6935166666666667,2,1,1,2025-05-21,2025-07-03,50.0
Chittiyaan Kalaiyaan,Meet Bros Anjjan,0.6752666666666667,1,0,1,2025-09-15,2025-09-15,0.0
Pashmina,Amit Trivedi,0.6592166666666667,5,5,0,2025-02-07,2025-10-06,100.0
Galway Girl,Ed Sheeran,0.6393333333333333,1,0,1,2025-09-23,2025-09-23,0.0
High On You,Jind Universe,0.6234333333333333,1,1,0,2025-03-30,2025-03-30,100.0
Tera Chehra,Arijit Singh,0.6103666666666667,3,2,1,2025-02-13,2025-05-12,66.67
PELIGROSA,FloyyMenor,0.5976,2,1,1,2025-09-05,2025-09-07,50.0
Nice to meet you (feat. Central Cee),PinkPantheress,0.5731666666666667,1,0,1,2025-06-05,2025-06-05,0.0
Ishq,Faheem Abdullah,0.5307666666666667,1,0,1,2025-10-27,2025-10-27,0.0
Diyar E Dil - Original Soundtrack,Meena Gul,0.5173833333333333,1,0,1,2025-07-11,2025-07-11,0.0
Chand Taray,Kaavish,0.49733333333333335,1,1,0,2025-09-08,2025-09-08,100.0
Powerful Dua 40 Rabbana Dua's,The Holy Quran,0.448,1,0,1,2025-10-31,2025-10-31,0.0
NIGHTS LIKE THIS,The Kid LAROI,0.44781666666666664,2,2,0,2025-09-01,2025-09-05,100.0
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,0.44473333333333337,2,1,1,2025-01-25,2025-09-01,50.0
Main Hoon Saath Tere,Arijit Singh,0.4416333333333333,1,1,0,2025-09-05,2025-09-05,100.0
Dont Mind,Young Stunners,0.43351666666666666,1,1,0,2025-04-05,2025-04-05,100.0
Home,David Fleming,0.387,1,0,1,2025-11-07,2025-11-07,0.0
Ananya,Arijit Singh,0.38438333333333335,1,1,0,2025-09-23,2025-09-23,100.0
Love Me Not,Ravyn Lenae,0.34941666666666665,1,1,0,2025-09-01,2025-09-01,100.0
Pehli Dafa,Atif Aslam,0.3441166666666667,2,2,0,2025-09-01,2025-09-01,100.0
All I Need,Radiohead,0.32183333333333336,1,0,1,2025-10-15,2025-10-15,0.0
Istighfar 100x,Abdulah Haikal,0.3157333333333333,1,1,0,2025-02-05,2025-02-05,100.0
Mere Bina,Pritam,0.31065,1,1,0,2025-07-29,2025-07-29,100.0
Sanam Teri Kasam,Ankit Tiwari,0.30985,2,2,0,2025-02-13,2025-02-13,100.0
Close To You,Gracie Abrams,0.30465,1,1,0,2025-11-04,2025-11-04,100.0
Shake It To The Max (FLY) - Remix,MOLIY,0.2823333333333333,1,1,0,2025-09-05,2025-09-05,100.0
would've been you,sombr,0.27715,1,1,0,2025-09-01,2025-09-01,100.0
"Darasal (From ""Raabta"")",Atif Aslam,0.2757833333333333,1,1,0,2025-01-29,2025-01-29,100.0
Chaaha Hai Tujhko,Udit Narayan,0.275,1,1,0,2025-11-01,2025-11-01,100.0
Black,Pearl Jam,0.2728333333333333,1,1,0,2025-09-24,2025-09-24,100.0
Sanam Teri Kasam - Reprise,Mohammed Irfan,0.25498333333333334,1,1,0,2025-02-13,2025-02-13,100.0
Ye Tune Kya Kiya,Pritam,0.2392,1,1,0,2025-11-08,2025-11-08,100.0
Keep Me,Novo Amor,0.23841666666666667,1,1,0,2025-09-11,2025-09-11,100.0
NUNCA MUDA?,Scythermane,0.23736666666666667,2,1,1,2025-09-05,2025-11-02,50.0
Safarnama,Lucky Ali,0.22188333333333332,2,2,0,2025-02-07,2025-02-27,100.0
Heer,Ali & Shjr,0.20863333333333334,1,1,0,2025-04-14,2025-04-14,100.0
Shaky,Sanju Rathod,0.20501666666666665,2,2,0,2025-06-11,2025-09-01,100.0
WILDFLOWER,Billie Eilish,0.20491666666666666,1,1,0,2025-09-01,2025-09-01,100.0
Abhi Abhi,KK,0.20166666666666666,1,0,1,2025-10-18,2025-10-18,0.0
Ro Lain De,Pritam,0.19318333333333335,1,1,0,2025-11-08,2025-11-08,100.0
The Blonde,TV Girl,0.18936666666666666,3,2,1,2025-09-01,2025-09-10,66.67
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,0.18808333333333332,1,1,0,2025-09-05,2025-09-05,100.0
Sugar Talking,Sabrina Carpenter,0.18536666666666668,2,2,0,2025-09-05,2025-09-09,100.0
Hvitserk's choice,Trevor Morris,0.17688333333333334,1,1,0,2025-09-01,2025-09-01,100.0
"Lutt Putt Gaya (From ""Dunki"")",Pritam,0.16816666666666666,1,1,0,2025-11-08,2025-11-08,100.0
GUILT TRIPPIN (feat. Sexyy Red),Central Cee,0.16338333333333332,1,1,0,2025-10-04,2025-10-04,100.0
Eyes Up Here,David Fleming,0.15833333333333333,1,0,1,2025-11-07,2025-11-07,0.0
Maine Khud Ko,Mustafa Zahid,0.15796666666666667,1,1,0,2025-10-15,2025-10-15,100.0
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",Mithoon,0.15623333333333334,2,2,0,2025-02-07,2025-02-27,100.0
Andaaz-E-Karam,Zain Zohaib,0.14553333333333332,1,1,0,2025-02-01,2025-02-01,100.0
savera,Maanu,0.1447,2,2,0,2025-07-03,2025-10-27,100.0
Ijazat (Revamped),Falak Shabbir,0.14161666666666667,1,1,0,2025-10-15,2025-10-15,100.0
Javeda Zindag,Kshitij Tarey,0.14128333333333334,1,1,0,2025-09-01,2025-09-01,100.0
Show Me Love (with Tyla),WizTheMc,0.14093333333333333,2,2,0,2025-09-05,2025-09-05,100.0
i was in love with you,numb the pain,0.138,1,1,0,2025-11-16,2025-11-16,100.0
Jhol - Acoustic,Maanu,0.12661666666666666,1,1,0,2025-09-01,2025-09-01,100.0
Mystery of Love,Sufjan Stevens,0.12331666666666667,1,1,0,2025-09-11,2025-09-11,100.0
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Bunny,0.11635,1,1,0,2025-09-10,2025-09-10,100.0
Open Arms (feat. Travis Scott),SZA,0.10535,1,1,0,2025-09-01,2025-09-01,100.0
Beanie,Chezile,0.1051,1,1,0,2025-09-01,2025-09-01,100.0
Sanson Ki Mala Peh Simroon,Nusrat Fateh Ali Khan,0.10473333333333333,1,1,0,2025-09-01,2025-09-01,100.0
"Tera Mera Hai Pyar (From ""Ishq Murshid"")",Ahmed Jahanzeb,0.10006666666666666,1,1,0,2025-09-10,2025-09-10,100.0
Timeless (feat Playboi Carti),The Weeknd,0.09833333333333333,2,2,0,2025-09-01,2025-09-05,100.0
Ishq Hularey,Zain Zohaib,0.0981,1,1,0,2025-02-01,2025-02-01,100.0
do i ever cross your mind,sombr,0.09621666666666667,1,1,0,2025-09-01,2025-09-01,100.0
9,Drake,0.09553333333333333,1,1,0,2025-09-01,2025-09-01,100.0
Alag Aasmaan,Anuv Jain,0.09166666666666666,1,1,0,2025-09-15,2025-09-15,100.0
What Jhumka ?,Pritam,0.08725,1,1,0,2025-11-08,2025-11-08,100.0
Mahiye Jinna Sohna,Darshan Raval,0.08723333333333333,1,1,0,2025-09-15,2025-09-15,100.0
Jiya Lage Na,Sona Mohapatra,0.08561666666666666,1,1,0,2025-10-27,2025-10-27,100.0
Sapna,Bayaan,0.0826,1,1,0,2025-09-15,2025-09-15,100.0
End of Beginning,Djo,0.07966666666666666,2,2,0,2025-09-01,2025-09-11,100.0
Ishaqzaade,Amit Trivedi,0.07945,1,1,0,2025-09-15,2025-09-15,100.0
Cinnamon Girl,Lana Del Rey,0.07938333333333333,1,1,0,2025-09-10,2025-09-10,100.0
White Ferrari,Frank Ocean,0.07761666666666667,1,1,0,2025-09-01,2025-09-01,100.0
We Almost Broke Up Again Last Night,Sabrina Carpenter,0.07681666666666667,1,1,0,2025-09-05,2025-09-05,100.0
Hook (Official Soundtrack),Zain Zohaib,0.07675,1,1,0,2025-02-01,2025-02-01,100.0
Mat Aazma Re,Pritam,0.07625,1,1,0,2025-10-27,2025-10-27,100.0
It's You,Ali Gatie,0.07473333333333333,2,2,0,2025-02-07,2025-02-27,100.0
Nawazish,Auj,0.07133333333333333,1,0,1,2025-11-20,2025-11-20,0.0
Thagyan,Zain Zohaib,0.06695,1,1,0,2025-02-01,2025-02-01,100.0
"Tum Ho Toh (From ""Saiyaara"")",Vishal Mishra,0.06113333333333333,2,2,0,2025-09-01,2025-09-01,100.0
K.,Cigarettes After Sex,0.06055,1,1,0,2025-09-01,2025-09-01,100.0
Kanch,Afusic,0.05855,1,1,0,2025-10-26,2025-10-26,100.0
Mohabbat,Arooj Aftab,0.057666666666666665,1,0,1,2025-10-14,2025-10-14,0.0
Zaroorat,Mustafa Zahid,0.05515,1,1,0,2025-09-01,2025-09-01,100.0
Tere Ishq Mein,Asfar Hussain,0.05506666666666667,1,1,0,2025-09-10,2025-09-10,100.0
You Get Me So High,The Neighbourhood,0.05436666666666667,1,1,0,2025-09-01,2025-09-01,100.0
Never Getting Laid,Sabrina Carpenter,0.05273333333333333,1,1,0,2025-09-05,2025-09-05,100.0
Kanwal,Afusic,0.05271666666666667,1,1,0,2025-10-26,2025-10-26,100.0
State Lines,Novo Amor,0.052066666666666664,1,1,0,2025-09-11,2025-09-11,100.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.05011666666666667,2,2,0,2025-02-07,2025-02-27,100.0
Lapata,Tahami,0.050083333333333334,1,1,0,2025-10-26,2025-10-26,100.0
Taare,Shamoon Ismail,0.0477,1,1,0,2025-09-10,2025-09-10,100.0
Sun Saiyan,dreeming,0.0465,1,1,0,2025-09-10,2025-09-10,100.0
Kheech Meri Photo,Neeti Mohan,0.04591666666666667,1,1,0,2025-02-13,2025-02-13,100.0
The Tortured Poets Department,Taylor Swift,0.045233333333333334,1,1,0,2025-09-15,2025-09-15,100.0
party 4 u,Charli xcx,0.04521666666666667,1,1,0,2025-09-11,2025-09-11,100.0
Her,Amna Riaz,0.04468333333333333,1,1,0,2025-09-15,2025-09-15,100.0
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,0.043916666666666666,1,1,0,2025-09-11,2025-09-11,100.0
Mere Dil Mein,Zain Zohaib,0.04385,1,1,0,2025-02-01,2025-02-01,100.0
Gul De Pa Zulfo,Wajid Layaq,0.042416666666666665,1,1,0,2025-09-10,2025-09-10,100.0
Post You,Hasan Raheem,0.041833333333333333,1,1,0,2025-10-26,2025-10-26,100.0
Tere Pyaar Mein,Pritam,0.04161666666666667,1,1,0,2025-11-08,2025-11-08,100.0
Such Keh Raha Hai,KK,0.04136666666666667,1,1,0,2025-09-10,2025-09-10,100.0
Sardaari Hussain Di,Zain Zohaib,0.04123333333333333,1,1,0,2025-02-01,2025-02-01,100.0
Don’t Worry I’ll Make You Worry,Sabrina Carpenter,0.041166666666666664,1,1,0,2025-09-05,2025-09-05,100.0
Kasoor,Prateek Kuhad,0.040183333333333335,1,1,0,2025-09-10,2025-09-10,100.0
Haal E - Dil - Male Vocals,Sreerama Chandra,0.039966666666666664,1,1,0,2025-02-13,2025-02-13,100.0
Tera Ban Jaunga,Akhil Sachdeva,0.039233333333333335,1,1,0,2025-09-15,2025-09-15,100.0
Matilda,Harry Styles,0.03835,1,1,0,2025-05-13,2025-05-13,100.0
The Night We Met,Lord Huron,0.0383,1,1,0,2025-09-11,2025-09-11,100.0
Creep,Radiohead,0.037616666666666666,1,1,0,2025-10-27,2025-10-27,100.0
"Dhun (From ""Saiyaara"")",Mithoon,0.03698333333333333,1,1,0,2025-09-01,2025-09-01,100.0
Tera Ghata,Gajendra Verma,0.03668333333333333,1,1,0,2025-09-10,2025-09-10,100.0
Sweet Heat Lightning,Gregory Alan Isakov,0.03556666666666667,1,1,0,2025-09-11,2025-09-11,100.0
Mind Over Matter (Reprise),Young the Giant,0.03548333333333333,1,1,0,2025-09-01,2025-09-01,100.0
Ek Baar,Afusic,0.0354,1,1,0,2025-10-26,2025-10-26,100.0
Let Down,Radiohead,0.03476666666666667,1,1,0,2025-09-01,2025-09-01,100.0
Go Go Juice,Sabrina Carpenter,0.03473333333333333,1,1,0,2025-09-05,2025-09-05,100.0
ocean eyes,Billie Eilish,0.03405,1,1,0,2025-09-11,2025-09-11,100.0
Vidrado Em Você,Dj Guuga,0.033633333333333335,2,2,0,2025-09-05,2025-09-05,100.0
Afsanay,Talhah Yunus,0.03353333333333333,1,1,0,2025-10-27,2025-10-27,100.0
Not Like Us,Kendrick Lamar,0.033466666666666665,1,1,0,2025-09-10,2025-09-10,100.0
Naara E Haideri,Zain Zohaib,0.03315,1,1,0,2025-02-01,2025-02-01,100.0
Haiderium,Zain Zohaib,0.033133333333333334,1,1,0,2025-02-01,2025-02-01,100.0
"Mat Aazma Re (From ""Murder 3"")",Pritam,0.033,1,1,0,2025-05-26,2025-05-26,100.0
Ainay,Zain Zohaib,0.032933333333333335,1,1,0,2025-02-01,2025-02-01,100.0
FUNK MI CAMINO,Sayfalse,0.0322,1,1,0,2025-09-05,2025-09-05,100.0
Callin,Afusic,0.03195,1,1,0,2025-10-26,2025-10-26,100.0
"Nazar Teri Toofan (From ""Merry Christmas"")",Pritam,0.031683333333333334,1,1,0,2025-11-08,2025-11-08,100.0
"Jaan Ban Gaye - From ""Khuda Haafiz""",Asees Kaur,0.0314,1,1,0,2025-09-10,2025-09-10,100.0
I Wanna Be Yours,Arctic Monkeys,0.030666666666666665,1,1,0,2025-09-01,2025-09-01,100.0
Regardless,Asim Azhar,0.03045,1,1,0,2025-09-01,2025-09-01,100.0
Ek number,Himesh Reshammiya,0.030433333333333333,1,1,0,2025-02-13,2025-02-13,100.0
Out Of Your Mind,Afusic,0.028933333333333332,1,1,0,2025-10-26,2025-10-26,100.0
Sochta Houn,Nusrat Fateh Ali Khan,0.028666666666666667,1,1,0,2025-04-04,2025-04-04,100.0
Coastline,Hollow Coves,0.028533333333333334,1,1,0,2025-09-11,2025-09-11,100.0
Softly,Karan Aujla,0.0274,1,1,0,2025-10-03,2025-10-03,100.0
Tu Aazma,Garvit - Priyansh,0.027333333333333334,1,0,1,2025-04-24,2025-04-24,0.0
LAAZMI,Afusic,0.026433333333333333,1,1,0,2025-10-26,2025-10-26,100.0
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,0.02635,1,1,0,2025-09-05,2025-09-05,100.0
back to friends,sombr,0.026083333333333333,1,1,0,2025-09-05,2025-09-05,100.0
Par Chanaa De (Coke Studio Season 9),Shilpa Rao,0.0255,1,1,0,2025-09-01,2025-09-01,100.0
Sufi Medley,Abdullah Qureshi,0.025166666666666667,1,1,0,2025-09-10,2025-09-10,100.0
Main Teri Yaadon Mein,Arijit Singh,0.02495,1,1,0,2025-02-13,2025-02-13,100.0
"Merry Christmas (Title Track) (From ""Merry Christmas"")",Pritam,0.024533333333333334,1,1,0,2025-11-08,2025-11-08,100.0
FE!N (feat. Playboi Carti),Travis Scott,0.02425,1,1,0,2025-09-10,2025-09-10,100.0
Nobody’s Son,Sabrina Carpenter,0.023966666666666667,1,1,0,2025-09-05,2025-09-05,100.0
Pal Pal (with Talwiinder),Afusic,0.023816666666666667,1,1,0,2025-09-01,2025-09-01,100.0
Luv Summer,Umair,0.02365,1,1,0,2025-10-26,2025-10-26,100.0
Saajna (Unplugged),Falak Shabbir,0.023016666666666668,1,0,1,2025-09-27,2025-09-27,0.0
"Nikle The Kabhi Hum Ghar Se (From ""Dunki"")",Pritam,0.022933333333333333,1,1,0,2025-11-08,2025-11-08,100.0
Manzil,ASAR,0.022416666666666668,1,1,0,2025-10-26,2025-10-26,100.0
House Tour,Sabrina Carpenter,0.021483333333333333,1,1,0,2025-09-05,2025-09-05,100.0
My Type,Saweetie,0.021333333333333333,1,1,0,2025-09-10,2025-09-10,100.0
Taarefon Se,Amit Trivedi,0.021,1,1,0,2025-09-05,2025-09-05,100.0
"Banda (From ""Dunki"")",Pritam,0.021,1,1,0,2025-11-08,2025-11-08,100.0
DAISIES,Justin Bieber,0.0208,1,1,0,2025-09-11,2025-09-11,100.0
Teray Naal,HYDR,0.0207,1,1,0,2025-09-10,2025-09-10,100.0
Dil,Zain Zohaib,0.02065,1,1,0,2025-02-01,2025-02-01,100.0
Apocalypse,Cigarettes After Sex,0.020283333333333334,1,1,0,2025-10-27,2025-10-27,100.0
Jane Woh Kaise Log The,Hemant Kumar,0.019083333333333334,1,1,0,2025-04-01,2025-04-01,100.0
Gata Only,FloyyMenor,0.019,1,1,0,2025-09-05,2025-09-05,100.0
Tum Se Hi,Pritam,0.015983333333333332,1,1,0,2025-11-08,2025-11-08,100.0
Kinni Kinni,Diljit Dosanjh,0.015133333333333334,1,1,0,2025-09-10,2025-09-10,100.0
Piya Daikho,Kaavish,0.0146,1,1,0,2025-09-24,2025-09-24,100.0
Meri Kahani,Atif Aslam,0.0137,1,1,0,2025-09-05,2025-09-05,100.0
Faasle,Kaavish,0.013383333333333334,1,1,0,2025-09-05,2025-09-05,100.0
Good For You x One Of The Girls - sped up + reverb,moon.,0.009166666666666667,1,1,0,2025-09-05,2025-09-05,100.0
DIA DELÍCIA,Nakama,0.008433333333333333,1,1,0,2025-09-05,2025-09-05,100.0
Surah Mulk - With Urdu Translation,Shamshad Ali Khan,0.007566666666666667,1,1,0,2025-10-31,2025-10-31,100.0
The Scientist,Coldplay,0.006783333333333333,1,1,0,2025-10-27,2025-10-27,100.0
Hawayein,Pritam,0.006583333333333333,1,1,0,2025-11-08,2025-11-08,100.0
Tu,Talwiinder,0.0062,1,1,0,2025-09-24,2025-09-24,100.0
Sweet Love,Myles Smith,0.0012666666666666666,1,1,0,2025-01-27,2025-01-27,100.0
Lovers Rock,TV Girl,0.0,1,1,0,2025-09-22,2025-09-22,100.0
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",Ayushmann Khurrana,0.0,1,0,1,2025-08-04,2025-08-04,0.0
Sweet,Cigarettes After Sex,0.0,1,1,0,2025-09-11,2025-09-11,100.0
Kabira,Pritam,0.0,1,1,0,2025-11-08,2025-11-08,100.0
Jimmy Cooks (feat. 21 Savage),Drake,0.0,1,1,0,2025-08-29,2025-08-29,100.0
Shayad,Pritam,0.0,1,1,0,2025-11-08,2025-11-08,100.0
Gumaan,Young Stunners,0.0,1,1,0,2025-05-13,2025-05-13,100.0
Heart To Heart,Mac DeMarco,0.0,1,1,0,2025-04-19,2025-04-19,100.0
Isharon Isharon Men Dil Lenewale,Asha Bhosle,0.0,1,1,0,2025-01-12,2025-01-12,100.0
Superman 2025 Official Trailer Music - Epic Version,John Williams,0.0,1,1,0,2025-11-07,2025-11-07,100.0
Tu Hi Mera,Pritam,0.0,1,1,0,2025-11-08,2025-11-08,100.0
Falak Tak,Vishal-Shekhar,0.0,1,1,0,2025-09-15,2025-09-15,100.0
Call Out My Name,The Weeknd,0.0,2,2,0,2025-05-19,2025-05-19,100.0
All Girls Are The Same,Juice WRLD,0.0,1,1,0,2025-10-15,2025-10-15,100.0
