track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Doorie,Atif Aslam,16.90145,7,7,0,2025-01-29,2025-11-04,100.0
Nindiya Re (Studio Version),Kaavish,16.712016666666667,6,5,1,2025-01-05,2025-07-08,83.33
loml,Taylor Swift,16.659566666666667,7,5,2,2025-02-07,2025-11-04,71.43
"Satranga (From ""ANIMAL"")",Arijit Singh,16.392400000000002,6,5,1,2025-01-29,2025-11-04,83.33
"Barbaad (From ""Saiyaara"")",The Rish,16.39015,3,2,1,2025-10-04,2025-11-04,66.67
Dibbiya,Safwan Azeem,16.269083333333334,10,8,2,2025-01-29,2025-10-04,80.0
Good Fellas,Talha Anjum,15.8636,5,4,1,2025-03-19,2025-10-07,80.0
Girta Sambhalta,Aditya N.,15.688416666666667,9,8,1,2025-01-29,2025-09-05,88.89
Dastaan,Abdullah Qureshi,15.451783333333333,7,5,2,2025-01-12,2025-07-08,71.43
Run It Back,Talha Anjum,14.951799999999999,8,5,3,2025-09-27,2025-10-21,62.5
Moh Moh Ke Dhaage (Male),Anu Malik,14.733916666666666,3,2,1,2025-08-21,2025-11-19,66.67
Haal E - Dil - Female Vocals,Neeti Mohan,14.568533333333335,4,3,1,2025-02-13,2025-02-26,75.0
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,14.55855,5,5,0,2025-02-07,2025-10-01,100.0
Surah Al Waqia,Sheikh Abdul Rahman Al Sudais,14.097633333333333,3,0,3,2025-08-23,2025-11-11,0.0
Maand,Bayaan,13.915866666666666,6,5,1,2025-01-01,2025-10-27,83.33
ROOP,NAYEL,13.829733333333333,6,3,3,2025-04-26,2025-05-27,50.0
HAVHAVHAV,Lvbel C5,13.634816666666667,8,6,2,2025-06-18,2025-09-22,75.0
Chali Kahani,Sukhwinder Singh,13.299700000000001,3,3,0,2025-01-17,2025-02-26,100.0
Kehne Lagaa,Rushil Aswal,13.04275,7,7,0,2025-05-24,2025-09-23,100.0
Fortnight (feat. Post Malone),Taylor Swift,13.023166666666667,4,3,1,2025-04-23,2025-06-24,75.0
At The Top,Talha Anjum,12.883416666666667,7,5,2,2025-09-27,2025-10-24,71.43
Radha,Hasan Raheem,12.870366666666666,4,2,2,2025-04-26,2025-10-03,50.0
My Man on Willpower,Sabrina Carpenter,12.616833333333332,7,4,3,2025-09-05,2025-11-04,57.14
Raabta (Kehte Hain Khuda Ne),Pritam,12.609483333333333,4,3,1,2025-08-14,2025-11-04,75.0
Ishq Hai,Anurag Saikia,12.2738,3,2,1,2025-01-01,2025-01-14,66.67
Mushk,Ali Zafar,11.94205,5,5,0,2025-02-07,2025-11-13,100.0
Gulabi Sadi,Sanju Rathod,11.600466666666666,4,2,2,2025-06-11,2025-11-05,50.0
Eastside (with Halsey & Khalid),benny blanco,11.579483333333334,5,1,4,2025-06-24,2025-08-28,20.0
Faasle (Studio Version),Kaavish,11.280166666666666,5,3,2,2025-02-07,2025-11-08,60.0
Surah Al-Ahzab,Alshaikh Abdul Rahman Alsudais Sheikh Saud Al Shuraim,11.056316666666667,1,0,1,2025-03-01,2025-03-01,0.0
Tera Mera Rishta,Mustafa Zahid,10.678433333333334,4,2,2,2025-01-29,2025-09-02,50.0
Never There,Jokhay,10.47245,4,4,0,2025-09-05,2025-10-04,100.0
Dil Tu Jaan Tu,Gurnazar,10.3344,7,7,0,2025-01-17,2025-11-13,100.0
Finding Her,Kushagra,10.31105,5,5,0,2025-05-02,2025-10-24,100.0
Chalo Door Kahin,Samar Jafri,10.151633333333333,4,1,3,2025-11-18,2025-11-20,25.0
Manchild,Sabrina Carpenter,9.910583333333333,6,5,1,2025-09-05,2025-11-04,83.33
Raabta,Pritam,9.858933333333333,5,3,2,2025-08-14,2025-11-11,60.0
So High School,Taylor Swift,9.795,6,4,2,2025-01-14,2025-11-04,66.67
"Guzaarishein (From ""Parwarish"") - Original Motion Picture Soundtrack",Samar Jafri,9.312183333333333,3,3,0,2025-08-29,2025-10-27,100.0
BIRDS OF A FEATHER,Billie Eilish,9.097850000000001,5,5,0,2025-06-24,2025-09-11,100.0
Aashiq Tera,Altamash Faridi,8.933916666666667,3,2,1,2025-04-03,2025-04-13,66.67
O Meri Laila,Atif Aslam,8.7586,3,2,1,2025-10-15,2025-10-21,66.67
Yakeen,Atif Aslam,8.715399999999999,5,3,2,2025-01-29,2025-11-11,60.0
Ishq Di Baajiyaan,Shankar-Ehsaan-Loy,8.672866666666668,4,3,1,2025-07-13,2025-09-30,75.0
Goodbye,Sabrina Carpenter,8.668933333333333,4,4,0,2025-09-05,2025-09-09,100.0
Yellow,Coldplay,8.662816666666668,3,2,1,2025-06-08,2025-09-23,66.67
O Yaara,Abdul Hannan,8.657333333333334,2,2,0,2025-02-02,2025-04-12,100.0
Surah Ar Rahman,Sheikh Abdul Rahman Al Sudais,8.531566666666667,1,0,1,2025-08-23,2025-08-23,0.0
Chan Mahi - Duet Version,Abdullah Qureshi,8.414833333333332,3,2,1,2025-09-15,2025-10-03,66.67
Safar,Bayaan,8.343,7,7,0,2025-01-14,2025-09-10,100.0
Vaaroon,Anand Bhaskar,8.120866666666666,6,3,3,2025-02-07,2025-05-27,50.0
Departure Lane,Talha Anjum,8.100666666666667,5,3,2,2025-02-23,2025-11-01,60.0
Girta Sambhalta (Extended),Aditya N.,8.065083333333334,3,3,0,2025-07-22,2025-07-24,100.0
Style,Taylor Swift,7.952383333333334,3,1,2,2025-04-23,2025-06-14,33.33
Ehsaas,Faheem Abdullah,7.878333333333334,3,2,1,2025-10-17,2025-11-19,66.67
Hale Dil,Harshit Saxena,7.802883333333334,2,2,0,2025-04-05,2025-09-15,100.0
"Kaise Ab Kahein - From ""Gutar Gu""",Gaurav Chatterji,7.768483333333333,7,5,2,2025-01-29,2025-11-15,71.43
Sweet Love - Acoustic,Myles Smith,7.7256,6,5,1,2025-01-27,2025-10-18,83.33
Aaja,Abdullah Qureshi,7.6964,2,0,2,2025-07-29,2025-11-05,0.0
Qurban (Original TV Series Soundtrack),Masroor Ali Khan,7.62955,3,2,1,2025-01-29,2025-09-05,66.67
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,7.619633333333333,3,2,1,2025-04-23,2025-06-24,66.67
Jhalla Wallah,Amit Trivedi,7.412516666666667,3,3,0,2025-01-17,2025-09-15,100.0
Maula Mere Maula,Roop Kumar Rathod,7.1724,1,1,0,2025-09-22,2025-09-22,100.0
"Raanjhan (From ""Do Patti"")",Sachet-Parampara,7.1078833333333336,3,2,1,2025-02-13,2025-09-01,66.67
Charka,Mukhtar Sahota,6.999666666666666,2,2,0,2025-02-27,2025-03-18,100.0
"Ishq - From ""Lost;Found""",Faheem Abdullah,6.898149999999999,2,1,1,2025-01-12,2025-07-29,50.0
Dua Istikhara,Abdulah Haikal,6.776833333333333,5,1,4,2025-01-19,2025-09-13,20.0
Chori Chupke,Annural Khalid,6.692,4,3,1,2025-09-05,2025-09-24,75.0
Ya Adheeman,Ahmed Bukhatir,6.684833333333334,2,2,0,2025-03-21,2025-10-31,100.0
4AM in Karachi,Talha Anjum,6.668833333333334,3,2,1,2025-04-03,2025-04-05,66.67
Atlantis,Seafret,6.337733333333333,4,2,2,2025-11-19,2025-12-03,50.0
dear bruce,blrdd.,6.2915,6,2,4,2025-11-02,2025-11-28,33.33
Hayat Şaşırtır!,Aydilge,6.228933333333334,3,1,2,2025-06-18,2025-07-14,33.33
invisible string,Taylor Swift,6.0966000000000005,2,1,1,2025-09-10,2025-09-11,50.0
The Prophecy,Taylor Swift,6.041783333333333,2,1,1,2025-02-26,2025-11-15,50.0
Na kar Deewana,Mustafa Zahid,5.9969166666666665,2,2,0,2025-03-08,2025-04-01,100.0
Nindiya Ke Paar,Uzair Jaswal,5.868516666666666,3,2,1,2025-02-07,2025-11-11,66.67
MAKE YOU MINE (feat. Abdul Hannan & Hasan Raheem),Umair,5.866583333333333,4,3,1,2025-01-29,2025-02-27,75.0
"The Winner Takes It All - From ""Mamma Mia!""",Meryl Streep,5.821283333333334,2,2,0,2025-08-14,2025-11-19,100.0
London Boy,Taylor Swift,5.717499999999999,2,1,1,2025-06-25,2025-09-23,50.0
Intezaar,Abdullah Qureshi,5.6354999999999995,6,5,1,2025-02-07,2025-11-19,83.33
cardigan,Taylor Swift,5.563266666666666,2,1,1,2025-05-13,2025-09-11,50.0
Pindi Aye,Pindi Boyz,5.47525,1,1,0,2025-04-12,2025-04-12,100.0
I Can Do It With a Broken Heart,Taylor Swift,5.28875,2,2,0,2025-08-04,2025-11-05,100.0
Iris,The Goo Goo Dolls,5.267233333333333,3,1,2,2025-06-19,2025-09-05,33.33
Afsos,Anuv Jain,5.1662,2,1,1,2025-02-07,2025-03-30,50.0
